Id,Problem,Solution
170,Write a C++ Program to Print Numbers from 1 to n using class,"#include<iostream>
using namespace std;

class Num
{
    public:
        static int i;
        Num()
        {
            cout<<i++<<"" "";
        }
};

int Num::i=1;

int main()
{
    int n;
    cout<<""Enter value on n :: "";
    cin>>n;
    cout<<""\n"";
    Num obj[n];
    cout<<""\n"";

    return 0;
}"
171,Write a C++ Program to calculate Volume of Cube using constructor and destructor.,"#include<iostream>

using namespace std;



class cube

{

            public:

                        double side;

                        double volume()

                        {

                            return(side*side*side);

                        }

                        cube(double side1)

                        {

                            cout << ""\nA constructor is called"" << endl;

                            side=side1;

                        }

                        cube()

                        {

                            cout << ""\nA default constructor is called "" << endl;

                        }

                        ~cube()

                        {

                            cout << ""\nDestructing "" << side << endl;

                        }

};



int main()

{

            cube c1(2.34);

            cube c2;

            cout << ""\nThe side of the cube is: "" << c1.side << endl;

            cout << ""\nThe volume of the first cube is : "" << c1.volume() << endl;

            cout << ""\nEnter the length of the second cube : "" ;

            cin >> c2.side;

            cout << ""\nThe volume of second cube is : "" << c2.volume() << endl;

            return(0);

}"
172,Write a C++ Program to Perform Complex Operations using Overloading,"#include <iostream>
using namespace std;

class Complex
{
     private:
        double a;
        double b;

    public:
        Complex(double=1.0_._double=1.0); // Constructor;
        void set(double_._double);
        void print();
        Complex operator+(Complex);
        Complex operator++();
        Complex operator++(int);

};

Complex::Complex(double r_._ double i)
{
   set(r_._i);
}


void Complex::print()
{
    if (b<0)
    cout <<""\n""<< a << """" << b <<""i""<<endl;
    else
    cout <<""\n""<< a << ""+"" << b <<""i""<<endl;
}

void Complex::set(double r_._ double i)
{
    a = r;
    b = i;
}
// Prefix Exm.
Complex Complex::operator+(Complex R)
{
    Complex tmp;
    tmp.a = a + R.a;
    tmp.b = b + R.b;
    return tmp;
}
// Prefix Exm.
Complex Complex::operator++()
{
    a++;
    b++;
    return *this;
}

// Postfix Exm.
Complex Complex::operator++(int x)
{
    a++;
    b++;
    return *this;
}
int main()
{
    Complex A(3_._4)_._ B(5_._-6);
    A.print();
    B.print();
    Complex C;
    C= A+B;
    C.print();
    ++A;
    cout <<endl;
    A.print();
    C = ++A;
    C.print();

    A++;
    A.print();
    //system(""pause"");
    return 0;
}"
173,Write a C++ Program to Compare Two Strings using Overloading.,"#include<iostream>
#include<stdio.h>
#include<string.h>
using namespace std;

class String
{
        char str[20];
        public:

          void getdata()
        {
             gets(str);

        }

         int operator ==(String s)
        {
               if(!strcmp(str_._s.str))
                return 1;

                return 0;
        }
};

int main()
{
        String s1_._s2;

        cout<<""Enter first string :: "";
        s1.getdata();
        cout<<""\nEnter second string :: "";
        s2.getdata();
        if(s1==s2)
        {
            cout<<""\nStrigs are Equal\n"";
        }
        else
        {
            cout<<""\nStrings are Not Equal\n"";
        }
        
        return 0;
}"
174,Write a C++ Program to enter student details using Virtual Class.,"#include<iostream>

using namespace std;

class student

{
    protected:

        int roll_no;

    public:

        void get_no(int x)
        {
            roll_no=x;
        }

        void put_no()
        {
            cout<<""\nRoll Number :: ""<<roll_no<<""\n"";

        }
};

class test: virtual public student
{
    protected:
        float sub_marks;

    public:
        void get_submarks(float y)
        {
            sub_marks=y;
        }

        void put_submarks()
        {
            cout<<""\nSubject Marks :: ""<<sub_marks<<""\n"";
        }
};




class sports: public virtual student
{
    protected:
        float sp_marks;

    public:
        void get_spmarks(float z)
        {
            sp_marks=z;
        }

        void put_spmarks()
        {
            cout<<""\nSports Marks :: ""<<sp_marks<<""\n"";
        }

};

class result: public test_._ public sports
{

    float total_marks;

    public:
        void put_result()
        {
            total_marks=sub_marks+sp_marks;
            put_no();

            put_submarks();
            put_spmarks();
            cout<<""\nTotal Marks :: ""<<total_marks<<""\n"";
        }
};


int main()
{
    result R;
    R.get_no(34);
    R.get_submarks(67.2);
    R.get_spmarks(98.9);
    R.put_result();

    return 0;
}"
175,Write a C++ Program to find Area of Rectangle using constructor,"#include <iostream>
using namespace std;

class CRectArea
{
    private:
        int length;
        int breadth;
    public:
        CRectArea (int_._int);

        int areaofrect ()
        {
            return (length * breadth);
        }
        int length1()
        {
            return length;
        }

        int breadth1()
        {
            return breadth;
        }
};


CRectArea::CRectArea(int x_._ int y)
{
    length = x;
    breadth = y;
}


int main ()
{
    CRectArea myrectangle (2_._2);

    cout<<""The Length of Rectangle :: ""<<myrectangle.length1()<<""\n"";
    cout<<""\nThe Breadth of Rectangle :: ""<<myrectangle.breadth1()<<""\n"";
    cout << ""\nThe area of rectangle is :: "" << myrectangle.areaofrect()<< endl;
    return 0;
}"
176,Write a C++ Program to show Constructor and Destructor Example,"#include<iostream>
using namespace std;

class CAdd
{

    public:
                int one;

                CAdd(int two)
                {
                        cout << ""\nA constructor is called."" << endl;
                        one=two;
                }

                CAdd()
                {
                        cout << ""\nA default constructor is called "" << endl;
                }

                ~CAdd()
                {
                        cout << ""\nDestructing "" << one << endl;
                }

                int add()
                {
                        return(one+one);
                }
};

int main()
{
                CAdd myobj1(4);
                CAdd myobj2;

                cout <<""\nThe value in Object1 is :: ""<< myobj1.one << endl;
                cout << ""\nEnter a number :: "" ;

                cin >> myobj2.one;
                cout << myobj2.add()<<endl;

                return(0);
}"
177,Write a C++ Program to Show Counter using Constructor.,"#include<iostream>
using namespace std;

class counter
{
    private:
        int count;
    public:
        counter ()        // constructor
        {
            count=0;
        }

        void inc_count ()
        {
            count++;
        }

        int get_count ()
        {
            return count;
        }
};

int main ()
{
    counter c1;
    cout<<""\nBefore calling Counter Function_._ Count = "";
    cout<<c1.get_count ();

    c1.inc_count ();
    cout<<""\n\nAfter calling Counter Function_._ Count = "";
    cout<<c1.get_count ();

    cout<<""\n"";

    return 0;
}"
178,Write a C++ Program to Display Date using Constructors.,"#include<iostream>
using namespace std;

class date
{
    private:
        int dd_._ mm_._ yy;

    public:
        date()
        {
            dd=31;
            mm=12;
            yy=2016;
            cout<<""\nDate Object has been created..............\n"";
        }

        void display()
        {
            cout<<""\nThe Entered Date is :: "";
            cout<<dd<<""-""<<mm<<""-""<<yy<<""\n"";
        }
};
int main ()
{
date date1;
date1.display ();

return 0;
}"
179,Write a C++ program to Display Student Details using constructor and destructor.,"#include<iostream>
using namespace std;

class stu
{
                private:
                    char name[20]_._add[20];
                        int roll_._zip;

                public:
                    stu ();//Constructor
                        ~stu();//Destructor
                        void read();
                        void disp();
};

stu :: stu()
{
        cout<<""\nThis is Student Details constructor called...........""<<endl;
}

void stu :: read()
{
        cout<<""\nEnter the student Name :: "";
        cin>>name;
        cout<<""\nEnter the student roll no :: "";
        cin>>roll;
        cout<<""\nEnter the student address :: "";
        cin>>add;
        cout<<""\nEnter the Zipcode :: "";
        cin>>zip;
}

void stu :: disp()
{
    cout<<""\nThe Entered Student Details are shown below ::---------- \n"";
        cout<<""\nStudent Name :: ""<<name<<endl;
        cout<<""\nRoll no   is :: ""<<roll<<endl;
        cout<<""\nAddress is :: ""<<add<<endl;
        cout<<""\nZipcode is :: ""<<zip;
}

stu :: ~stu()
{
        cout<<""\n\nStudent Detail is Closed.............\n"";
}


int main()
{
        stu s;
    s.read ();
    s.disp ();

    return 0;
}"
180,Write a C++ Program to enter student details by Passing parameters to constructors,"#include<iostream>
using namespace std;

class Student
{
    private:
        int marks;
        char grade;
    public:
        Student(int m_._ char g)
        {
            marks= m;
            grade= g;
        }

        void show()
        {
            cout<<""\nMarks =""<<marks<<endl;
            cout<<""\nGrade = ""<<grade<<endl;
        }
};

int main()
{
    Student s1(730_._ 'A')_._ s2(621_._'B');
    cout<<""Record of student 1 :: -----------------""<<endl;
    s1.show();
    cout<<""\nRecord of student 2 :: -----------------""<<endl;
    s2.show();

    return 0;
}"
181,Write a C++ Program to Show Overload Constructor Example.,"#include<iostream>
using namespace std;

class test
{
    private:
        int a;
        char b;
        double c;
    public:
        test(int q)
        {
            a=q;
            b= '0';
            c=0;
        }

        test(char q)
        {
            a=0;
            b= q;
            c=0;
        }

        test(double q)
        {
            a=0;
            b='0';
            c=q;
        }

        test(int q1_._ char q2_._ double q3)
        {
            a=q1;
            b=q2;
            c=q3;
        }

        void show()
        {
            cout<<""\nValue of a: ""<<a<<endl;
            cout<<""\nValue of b: ""<<b<<endl;
            cout<<""\nValue of c: ""<<c<<endl<<endl;
        }
};


int main()
{
    test q1(5);
    test q2('t');
    test q3(3.14);
    test q4(4_._ 'y'_._ 3.45);
    q1.show();
    q2.show();
    q3.show();
    q4.show();

    return 0;
}"
182,Write a C++ Program to show Example of Default copy constructor,"#include<iostream>
#include<string>
using namespace std;

class Book
{
    private:
        int pages;
        char title[3];

    public:
        Book(int q_._ char w[3])
        {
            pages= q;
            for(int i=0 ; i<3 ; i++)
            {
                title[i]= w[i];
            }
        }

        void show()
        {
            cout<<""\nTitle of Book :: ""<<title<<endl;
            cout<<""\nNo. of Pages :: ""<<pages<<endl<<endl;
        }
};


int main()
{
    Book b1(25_._ ""C++"");
    Book b2(b1);
    Book b3= b1;

    cout<<""\nDetail of b1 :: ""<<endl;
    b1.show();
    cout<<""Detail of b2:""<<endl;
    b2.show();
    cout<<""Detail of b3:""<<endl;
    b3.show();

    return 0;
}"
183,Writ a C++ Program to demonstrate Constructor Overloading with Example,"#include<iostream>
#include<stdlib.h>
using namespace std;

class Deposit
{
        long int principal;
        int time;
        float rate;
        float totalamount;

        public:
                Deposit();                            // #1
                Deposit(long p_._ int t_._ float r);      // #2
                Deposit(long p_._ int t);               // #3
                Deposit(long p_._ float r);             // #4
                void calculateamount(void);
                void display(void);
};

Deposit::Deposit()
{
        principal = time = rate = 0.0;
}

Deposit::Deposit(long p_._ int t_._ float r)
{
        principal = p;
        time = t;
        rate = r;
}
Deposit::Deposit(long p_._ int t)
{
        principal = p;
        time = t;
        rate = 0.08;
}

Deposit::Deposit(long p_._ float r)
{
        principal = p;
        time = 2;
        rate = r;
}
void Deposit::calculateamount(void)
{
        totalamount = principal + (principal*time*rate)/100;
}

void Deposit::display(void)
{
        cout<<""\nPrincipal Amount :: Rs.""<<principal<<""\n"";
        cout<<""\nNo. of Years :: ""<<time<<"" years\n"";
        cout<<""\nRate of interest :: ""<<rate<<""\n"";
        cout<<""\nTotal Amount :: Rs.""<<totalamount<<""\n"";
}


int main()
{
        Deposit d1;
        Deposit d2(2000_._ 2_._ 0.07f);
        Deposit d3(4000_._ 1);
        Deposit d4(3000_._ 0.12f);

        d1.calculateamount();
        d2.calculateamount();
        d3.calculateamount();
        d4.calculateamount();

        cout<<""Object D1 Details ::-------------- \n"";
        d1.display();
        cout<<""\nObject D2 Details ::--------------\n"";
        d2.display();
        cout<<""\nObject D3 Details ::----------------\n"";
        d3.display();
        cout<<""\nObject D4 Details ::----------------\n"";
        d4.display();

        return 0;
}"
184,Write a C++ Program To calculate Volume of Box using Constructor. ,"#include <iostream>
using namespace std;

class box
{
    double length_._width_._height;
    double volume;

    public:
        box(double a_._double b_._double c);
        void vol();
};

box::box(double a_._double b_._double c)
{
    length=a;
    width=b;
    height=c;
    volume=length*width*height;
}

void box::vol()
{
    cout<<""\nDimensions of Box are :: \n"";
    cout<<""\nLength of Box :: ""<<length<<""\n"";
    cout<<""\nWidth of Box :: ""<<width<<""\n"";
    cout<<""\nHeight of Box :: ""<<height<<""\n"";
    cout<<""\nVolume of Box :: ""<<volume<<""\n"";
}


int main()
{
    box x(2.4_._5.7_._2.1)_._y(3.3_._4.4_._5.5);

    x.vol();
    y.vol();

    return 0;
}"
185,Write a C++ Program To Calculate Simple Interest using class. ,"#include<iostream>
using namespace std;

class bank
{
 private:
     float p;
     float r;
     float t;
     float si;
     float amount;

 public:
    void read ( )
          {
                 cout <<"" Enter Principle Amount :: "";
                 cin>>p ;
                 cout<<""\n Enter Rate of Interest :: "";
                 cin>>r;
                 cout <<""\n Enter Number of years :: "";
                 cin>>t;

                 si= (p *r*t) /100;
                 amount = si + p;

          }

    void show( )
         {
                cout<<""\n Entered Details are :: \n"";
                cout<<""\n Principle Amount: ""<<p;
                cout <<""\n\n Rate of Interest: ""<<r;
                cout <<""\n\n Number of years: ""<<t;
                cout <<""\n\n Interest : ""<<si;
                cout <<""\n\n Total Amount : ""<<amount<<""\n"";
         }
};


int main ()
{
    bank b ;

    b.read ( );
    b.show ( );

    return 0;
}"
186, Write a C++ Program To Calculate Electricity Bill Of Person using Class. ,"#include<iostream>
using namespace std;

class e_bill
{
     private:
         int c_no;
         char c_name[20];
         int units;
         double bill;
     public:
        void get()
        {
                 cout<<""Enter Details of Customer Below :: \n"" <<endl;
                 cout<<""Enter Customer No. :: "";
                 cin>>c_no;
                 cout<<""\nEnter Customer Name :: "";
                 cin>>c_name;
                 cout<<""\nEnter No. of Units used :: "";
                 cin>>units;
         }

        void put()
         {
                cout<<""\nEntered Details of Customer are :: "" <<endl;
                cout<<""\nCustomer No. is : ""<<c_no;
                cout<<""\n\nCustomer Name is : ""<<c_name;
                cout<<""\n\nNumber of Units Consumed : ""<<units;
                cout<<""\n\nBill of Customer : ""<<bill;
         }

        void calc_bill()
        {
                if(units<=100)
                       bill=units*1.20;
               else if(units<=300)
                       bill=100*1.20+(units-100)*2;
               else
                       bill=100*1.20+200*2+(units-300)*3;
         }
};

int main()
{
    e_bill b1;
    b1.get();
    b1.calc_bill();
    b1.put();

    cout<<""\n"";

    return 0;
}"
187,Write a C++ Program to Multiply every member by k using class. ,"#include<iostream>
using namespace std;

class array
{
     public:
         int n;
         void readarray();
         void multiply();
};

void array::readarray()
{
        int a[100];
        cout<<""Enter No. of elements u want :: "";
        cin>>n;
        for(int i=0;i<n;i++)
    {
        cout<<""\nEnter [ ""<<i+1<<"" ] element :: "";
        cin>>a[i];
    }

}

void array::multiply()
{
        int i_._j_._a[100]_._temp[100]_._k;

        cout<<""\nEnter the no. which u want to multiply :: "";
        cin>>k;

        for(i=0;i<n;i++)
        {
                for(j=0;j<n;j++)
                temp[i]=(a[i]*k);
        }
        cout<<""\nAfter Multiply every member by k = [ ""<<k<<"" ]_._ Resultant array is :: ""<<endl;
        for(int i=0;i<n;i++)
    {
        cout<<""\n [ ""<<i+1<<"" ] element :: ""<<temp[i]<<""\n"";
    }

}

int main()
{
        array mul;

        mul.readarray();
        mul.multiply();

        return 0;
}"
188,Write a C++ program to implement Simple Queue using Class,"#include <iostream>

using namespace std;

class queue
{
        private :

                int *arr ;
                int front_._ rear ;
                int MAX ;
        public :
                queue( int maxsize = 10 ) ;
                void addq ( int item ) ;
                int delq( ) ;
} ;

queue :: queue( int maxsize )
{
        MAX = maxsize ;
        arr = new int [ MAX ];
        front = -1 ;
        rear = -1 ;
}

void queue :: addq ( int item )
{
        if ( rear == MAX - 1 )
        {
                cout << ""\nQueue is full"" ;
                return ;
        }
        rear++ ;
        arr[rear] = item ;
        if ( front == -1 )
                front = 0 ;
}
int queue :: delq( )
{
        int data ;

        if ( front == -1 )
        {
                cout << ""\nQueue is Empty"" ;
                return NULL ;
        }

        data = arr[front] ;
        arr[front] = 0 ;
        if ( front == rear )
                front = rear = -1 ;
        else
                front++ ;

        return  data ;
}
int main( )
{
        queue a (10 ) ;

        a.addq ( 23 ) ;
        a.addq ( 9 ) ;
        a.addq ( 11 ) ;
        a.addq ( -10 ) ;
        a.addq ( 25 ) ;
        a.addq ( 16 ) ;
        a.addq ( 17 ) ;
        a.addq ( 22 ) ;
        a.addq ( 19 ) ;
        a.addq ( 30 ) ;
        a.addq ( 32 ) ;
        int i = a.delq( ) ;
        cout << ""\n\nItem deleted: "" << i ;
        i = a.delq( ) ;
        cout << ""\n\nItem deleted: "" << i ;
        i = a.delq( ) ;
        cout << ""\n\nItem deleted: "" << i ;

        cout<<""\n"";

        return 0;
}"
189,"
Write a C++ Program for Constructor with Parameters(Parameterized Constructor).","#include <iostream>
using namespace std;
class MyClass
{
         int h;
         int i;
        public:
            MyClass(int j_._ int k)
       {
            h = j;
            i = k;
       }
           int getlnt()
       {
           return i;
       }
          int getHeight()
      {
          return h;
      }
};

int main()
{
     MyClass myObject[3] =
     {
         MyClass(7_._ 6)_._
         MyClass(1_._9)_._
         MyClass(2_._3)

     };

    int i;
    for(i=0; i<3; i++)
    {
        cout<<""\nObject [ ""<<i+1<<"" ] Heights :: "";
       cout << myObject[i].getHeight();
       cout << ""_._ "";
       cout<< myObject[i].getlnt() << ""\n"";
    }
  return 0;
}"
190,Program to find sum of elements in a given array,"#include <bits/stdc++.h>
using namespace std;
 
// function to return sum of elements
// in an array of size n
int sum(int arr[]_._ int n)
{
    int sum = 0; // initialize sum
 
    // Iterate through all elements
    // and add them to sum
    for (int i = 0; i < n; i++)
        sum += arr[i];
 
    return sum;
}
 
// Driver code
int main()
{
    int arr[] = { 12_._ 3_._ 4_._ 15 };
    int n = sizeof(arr) / sizeof(arr[0]);
    cout << ""Sum of given array is "" << sum(arr_._ n);
    return 0;
}"
191,Program to find sum of elements in a given array using recursion,"#include <iostream>
using namespace std;
 
// function to return sum of elements
// in an array of size n
int sum(int arr[]_._ int n)
{
    // base case
    if (n == 0) {
        return 0;
    }
    else {
        // recursively calling the function
        return arr[0] + sum(arr + 1_._ n - 1);
    }
}
int main()
{
    int arr[] = { 12_._ 3_._ 4_._ 15 };
    int n = sizeof(arr) / sizeof(arr[0]);
    cout << sum(arr_._ n);
    return 0;
    // This code is contributed by Shivesh Kumar Dwivedi
}"
192,Program to find largest element in an array,"#include <bits/stdc++.h>
using namespace std;
 
int largest(int arr[]_._ int n)
{
    int i;
     
    // Initialize maximum element
    int max = arr[0];
 
    // Traverse array elements
    // from second and compare
    // every element with current max
    for (i = 1; i < n; i++)
        if (arr[i] > max)
            max = arr[i];
 
    return max;
}
 
// Driver Code
int main()
{
    int arr[] = {10_._ 324_._ 45_._ 90_._ 9808};
    int n = sizeof(arr) / sizeof(arr[0]);
    cout << ""Largest in given array is ""
         << largest(arr_._ n);
    return 0;
}"
193,program to print the elements of the array in reverse order using a pointer,"#include <iostream>
using namespace std;
 
int main() {
 
   int arr[5]_._i;
     int *p=arr;
     cout<<""Enter five numbers separated by space:"";
     cin>>*p>>*(p+1)>>*(p+2)>>*(p+3)>>*(p+4);
     cout<<""Your entered numbers in reverse order are:\n"";
     for(i=4;i>=0;i--)
        cout<<*(p+i)<<endl;
 
 
     return 0;
 
}"
194,C++ Program to Print “Hello_._ World!”.,"#include<iostream>
using namespace std;

int main()
{
    cout << ""Hello World!"";
    return 0;
}"
195,C++ Program to Add Two Integers.,"#include<iostream>
using namespace std;    
    
int main()
{

    int num1;
    int num2;
    int total;    
          
    cout<<""Enter first number :"";      
    cin >> num1;    
          
    cout<< ""Enter second number :"";
    cin >> num2;
        
    total = num2 + num1;
          
    cout << ""Total is :"" << total;
    return 0;
}"
196,C++ Program to Swap Values of Two Variables.,"#include<iostream>
using namespace std;

int main()
{
     int num1;
     int num2;
     int temp;

     cout << ""Type value of number 1 :"";
     cin >> num1;
     
     cout << ""Type value of number 2 :"";
     cin >> num2;     

     temp = num1;
     num1 = num2;
     num2 = temp;

     cout << ""After swapping values"" <<endl;
     cout << ""Value of number 1 :"" << num1 << endl ;
     
     cout << ""Value of number 2 :""<< num2;
     
     return 0;
}"
197,C++ Program to Multiply two Floating Point Numbers.,"#include<iostream>
using namespace std;    

int main() 
{
    double num1;
    double num2;
    double total;
    cout << ""Enter first number :"";
    cin >> num1;
    
    cout << ""Enter second number :"";
    cin >> num2;
        
    total = num2 * num1;
    cout  << ""Total is :"" << total;
    
    return 0;
}"
198,C++ Program to perform all arithmetic operations.,"#include<iostream>
using namespace std;    

int main() 
{
    int num1_._ num2;
    int sum_._ sub_._ mult_._ mod;
    float div;
    cout<< ""Enter first number : "";
    cin >> num1;
    
    cout<< ""Enter second number : "";
    cin >> num2;
    
    sum = num1 + num2;
    sub = num1 - num2;
    mult = num1 * num2;
    mod = num1 % num2;
    div = (float)num1 / num2;

    cout << ""Sum of number1 and number2 : "" << sum << endl;
    cout << ""Difference of number1 and number2 : "" << sub << endl;
    cout << ""Product of number1 and number2 : "" << mult << endl;
    cout << ""Modulus of number1 and number2 : "" << mod << endl;
    cout << ""Quotient of number1 and number2 : "" << div << endl;
    
    return 0;
}"
199,C++ Program to convert feet to meter.,"#include<iostream>
using namespace std;    

int main() 
{
    float meter_._feet;

    cout<< ""Enter feet : "";
    cin >> feet ;    

    meter = feet / 3.2808399;
    cout<< meter ;

    return 0;
}"
200,C++ Program to convert celcius to farenheit.,"#include<iostream>
using namespace std;

int main()
{
     float celsius_._ fahrenheit;
    
     cout << ""Enter Temperature in Celsius : "";
     cin >> celsius;
    
     fahrenheit = (1.8 * celsius) + 32; // Formula to caltulate Celsius to Fahrenheit
     cout << ""Temperature in Fahrenheit : "" << fahrenheit;
    
     return 0;
}"
201,C++ Program to convert farenheit to celcius.,"#include<iostream>
using namespace std;

int main()
{
    float celsius_._ fahrenheit;
    
    cout << ""Please temperature in Fahrenheit: "";
    cin >> fahrenheit;
    
    celsius = (fahrenheit - 32) * 5 / 9; // Formula to caltulate Fahrenheit to Celsius

    cout<< ""temperature in Celsius : "" << celsius;
    
    return 0;
}"
202,C++ Program to find the Size of data types.,"#include<iostream>
using namespace std;

int main()
{
    char charType;
    short shortType;
    int intType;
    long longType;
    float floatType;
    double doubleType;

    // Sizeof operator is used to evaluate the size of a declared data type
    
    cout << ""Size of char: "" << sizeof(charType) <<"" byte"" << endl;
    cout<<""Size of Short: "" << sizeof(shortType) <<"" bytes"" << endl;

    cout<<""Size of int: "" << sizeof(intType) <<"" bytes"" << endl;
    cout<<""Size of long: "" << sizeof(longType) <<"" bytes"" << endl;

    cout<<""Size of float: "" << sizeof(floatType) <<"" bytes"" << endl;
    cout<<""Size of double: "" << sizeof(doubleType) <<"" bytes"" << endl;

    return 0;;
}"
203,C++ Program to Print ASCII Value.,"#include<iostream>
using namespace std;

int main()
{
    char c;
    cout << ""Enter a character: "";
    cin >> c;
    cout << ""ASCII Value of "" << c << "" is "" << int(c);
    return 0;
}"
204,C++ Program to Calculate Area of Circle.,"#include<iostream>
#define PI 3.141
using namespace std;

int main()
{
    float radius_._ area;
    cout << ""Enter Radius: "";
    
    cin >> radius;
    area = PI * radius * radius;
    
    cout << area;
    return 0;
}"
205,C++ Program to Calculate Area of Square.,"#include<iostream>
#define PI 3.141
using namespace std;

int main()
{

  int side_._ area;

   cout << ""Enter the Length of Side : "";
   cin >> side;
   
  // Formula to calculate area of square
   area = side * side;
   cout << ""Area of Square : ""<< area;
   
   return 0;
}"
206,C++ Program to Calculate Area of Rectangle.,"#include<iostream>
#define PI 3.141
using namespace std;

int main()
{

   int length_._ breadth_._ area;

   cout << ""Enter length of rectangle : "";
   cin >> length;
   
   cout << ""Enter breadth of rectangle : "";
   cin >> breadth;

   // Formula to calculate area of Rectangle
   area = length * breadth;
   cout << ""Area of rectangle : "" << area;
   
   return 0;
}"
207,C++ Program to convert days to years_._ weeks and days.,"#include<iostream>
using namespace std;

int main()
{

    int days_._ years_._ weeks;

    cout << ""Enter days:"";   // Read total number of days from user
    cin >> days;
    
    years = (days / 365);
    weeks = (days % 365) / 7;
    days  = days - ((years * 365) + (weeks * 7));

    cout << ""Years : "" << years <<endl;
    cout << ""weeks : "" << weeks <<endl; 
    cout << ""Days : "" << days <<endl;
    
    return 0;
}"
208,Write C++ program to concatenate two strings,"#include <iostream>
#include <cstring>
using namespace std;
 
int main()
{
    char s1[50]_._ s2[50]_._ result[100];
 
    cout << ""Enter string s1: "";
    cin.getline(s1_._ 50); // Reading first string from user
 
    cout << ""Enter string s2: "";
    cin.getline(s2_._ 50); // Reading second string from user
 
    strcat(s1_._ s2);  // strcat is use to Concatenates two strings
 
    cout << ""String obtained on concatenation is:"" << s1 << endl;
 
    return 0;
}"
209,C++ program to find string length,"#include <iostream>
using namespace std;
 
int main()
{
    string str = ""Tech Study"";
 
    // you can also use str.length()
    cout << ""String Length = "" << str.size();
 
    return 0;
}"
210,Write C++ program to convert a string to Lower case,"#include <iostream>
#include <string.h>
using namespace std;
 
int main()
{
   char string[10];
 
   cout<<""Input a string to convert to lower case""<<endl;
   cin.getline(string_._ 10);
 
   cout<<""Character in lowercase:""<< strlwr(string);
   // strlwr is use to convert upper case character to lower case
 
   return  0;
}"
211,C++ program to convert a string to Upper case,"#include <iostream>
#include <string.h>
using namespace std;
 
int main()
{
   char string[10];
 
   cout<<""Input a string to convert to upper case""<<endl;
   cin.getline(string_._ 10);
 
   cout<<""Characters in uppercase:""<< strupr(string);
   // strupr is use to convert lower case character to upper case
 
   return  0;
}"
212,C++ program to change string to upper case without strupr,"#include <iostream>
#include <string.h>
using namespace std;
 
    void functionupper(char []);
 
    int main()
    {
       char string[100];
 
       cout<<""Enter a string to convert it into upper case""<<endl;
       cin>>string;
 
       functionupper(string); // calling functionupper
       cout<<""Entered string in upper case is: ""<< string;
 
       return 0;
    }
 
    void functionupper(char s[]) {
       int c = 0;
 
       while (s[c] != '\0') {
          if (s[c] >= 'a' && s[c] <= 'z') {
             s[c] = s[c] - 32;
          }
          c++;
       }
    }"
213,C++ program to change string to lower case without strlwr,"#include <iostream>
#include <string.h>
using namespace std;
 
    void functionlower(char []);
 
    int main()
    {
       char string[100];
 
       cout<<""Enter a string to convert it into lower case: ""<<endl;
       cin>>string;
 
       functionlower(string); // calling functionlower
 
       cout<<""Entered string in lower case is: ""<<string;
 
       return 0;
    }
 
    void functionlower(char s[]) {
       int c = 0;
 
       while (s[c] != '\0') {
          if (s[c] >= 'A' && s[c] <= 'Z') {
             s[c] = s[c] + 32;
          }
          c++;
       }
    }"
214,C++ program to reverse a string enter by user,"#include <iostream>
#include <string.h>
 
#define MAX_SIZE 100 //Maximum size of the string
using namespace std;
 
    int main()
    {
        int i_._ j_._ lenght;
        char string[MAX_SIZE];
        char reverse[MAX_SIZE];
 
           cout<<""Enter a string: "";
           cin>>string;
 
        lenght = strlen(string);
        j = 0;
 
        for(i=lenght-1; i>=0; i--)
        {
            reverse[j] = string[i];
            j++;
        }
        reverse[j] = '\0';
 
        cout<<reverse;
 
    return 0;
 
}"
215,C++ program to count number of alphabets_._ digits and special characters in string,"#include <iostream>
#include <string.h>
 
#define MAX_SIZE 100 //Maximum size of the string
using namespace std;
 
int main()
{
    char string[MAX_SIZE];
    int alphabets_._ digits_._ specialchars_._ i;
 
    alphabets = digits = specialchars = i = 0;
 
    cout<<""Enter any string: "";
    cin>>string;
 
     while(string[i]!='\0')
    {
        if((string[i]>='a' && string[i]<='z') || (string[i]>='A' && string[i]<='Z'))
        {
            alphabets++;
        }
        else if(string[i]>='0' && string[i]<='9')
        {
            digits++;
        }
        else
        {
            specialchars++;
        }
 
        i++;
    }
 
    cout<<""Total Alphabets: ""<<alphabets<<endl;
    cout<<""Total Digits: ""<<digits<<endl;
    cout<<""Total Special characters: ""<<specialchars<<endl;
 
}"
216,C++ program to compare two strings using strcmp,"#include <iostream>
#include <string.h>
 
#define MAX_SIZE 100 //Maximum size of the string
using namespace std;
 
int main()
{
    char str1[1000]_._ str2[1000];
 
    cout<<""Enter the first string""<<endl;
    cin>>str1;
 
    cout<<""Enter the second string""<<endl;
    cin>>str2;
 
    if (strcmp(str1_._str2) == 0)
        cout<<""Entered strings are equal""<<endl;
    else
        cout<<""Entered strings are not equal""<<endl;
 
return 0;
 
}"
217,C++ Program to check whether an integer entered by the user is odd or even,"#include<iostream>
using namespace std;    

int main()
{    
    int number;
    cout << ""Enter a number: "";
    cin >> number;

    // True if remainder is 0
    if( number%2 == 0 )
        
        cout<< number << "" is an even number"";
    else
       cout<< number << "" is an odd number"";
       
    return 0;
}"
